CÓD. INTERNO,PRODUTO,CÓD. DE BARRAS,NCM,PRODUTO,UTL,FYEL,TAMANHO,EMBALAGEM,PESO COM EMBALAGEM gm,CUSTO,VENDA SHOPEE LOJA UTL,VALOR QUE SOBRA APÓS COMISSÃO E TAXAS SHOPEE – IMPOSTO,VALOR LUCRO – IMPOSTO 6%,IMPOSTO,MARGEM EM %,FERNANDO PET MERCADO LIVRE
CÓD.0231,,7897175620231,5206.32.00,COLEIRA GATO BRILHO COM PINGENTE CARA DE GATA,,OK,,CARTELA C/10,75gm,R$ 10.10,R$ 27.90,R$ 16.65,R$ 6.55,R$ 1.67,65%,R$ 30.69
CÓD.0237,,7897175660237,5206.32.00,COLEIRA GATO BRILHO COM PINGENTE COROINHA,,OK,,CARTELA C/10,75gm,R$ 10.10,R$ 27.90,R$ 16.65,R$ 6.55,R$ 1.67,65%,R$ 30.69
CÓD.0238,,7897175650238,5206.32.00,COLEIRA GATO BRILHO COM PINGENTE CORAÇÃO,,OK,,CARTELA C/10,75gm,R$ 10.10,R$ 27.90,R$ 16.65,R$ 6.55,R$ 1.67,65%,R$ 30.69
CÓD.0239,,7897175640239,5206.32.00,COLEIRA GATO BRILHO COM PINGENTE MIX,,OK,,CARTELA C/10,75gm,R$ 10.10,R$ 27.90,R$ 16.65,R$ 6.55,R$ 1.67,65%,R$ 30.69
CARTELA COM 10 PÇS DE COLEIRAS ELÁSTICA ESTAMPADA LUXO AJUSTÁVEL PARA GATO (ANTI-ENFORCAMENTO) ,,,,,,,,,,,,,,,,
CÓD.0315,,7897175630315,5206.32.00,COLEIRA GATO ESTAMPADA LUXO COM GUIZO,,,,CARTELA C/10,117gm,R$ 16.30,R$ 49.90,R$ 32.93,R$ 16.63,R$ 2.99,102%,R$ 54.89
CÓD.0316,,7897175620316,5206.32.00,COLEIRA GATO ESTAMPADA LUXO COM PINGENTE GATA,,,,CARTELA C/10,127gm,R$ 19.13,R$ 59.90,R$ 40.33,R$ 21.20,R$ 3.59,111%,R$ 65.89
CÓD.0018,,7897175490018,5206.32.00,COLEIRA GATO ESTAMPADA LUXO COM PINGENTE PATA,,,,CARTELA C/10,127gm,R$ 19.13,R$ 59.90,R$ 40.33,R$ 21.20,R$ 3.59,111%,R$ 65.89
CÓD.0019,,7897175480019,5206.32.00,COLEIRA GATO ESTAMPADA LUXO COM PINGENTE BORBOLETA,,,,CARTELA C/10,127gm,R$ 19.13,R$ 59.90,R$ 40.33,R$ 21.20,R$ 3.59,111%,R$ 65.89
CÓD.0317,,7897175470317,5206.32.00,COLEIRA GATO ESTAMPADA LUXO COM PINGENTE MIX + PLACA,,,,CARTELA C/10,167gm,R$ 22.63,R$ 79.90,R$ 55.13,R$ 32.50,R$ 4.79,144%,
CÓD.0233,,7897175460233,5206.32.00,COLEIRA GATO ESTAMPADA LUXO COM PINGENTE CARA DE GATA,,,,CARTELA C/10,127gm,R$ 19.13,R$ 59.90,R$ 40.33,R$ 21.20,R$ 3.59,111%,R$ 65.89
CÓD.0046,,7897175420046,5206.32.00,COLEIRA GATO ESTAMPADA LUXO COM PINGENTE CORAÇÃO,,,,CARTELA C/10,127gm,R$ 19.13,R$ 59.90,R$ 40.33,R$ 21.20,R$ 3.59,111%,R$ 65.89
CÓD.0048,,7897175400048,5206.32.00,COLEIRA GATO ESTAMPADA LUXO COM PINGENTE COROINHA,,,,CARTELA C/10,127gm,R$ 19.13,R$ 59.90,R$ 40.33,R$ 21.20,R$ 3.59,111%,R$ 65.89
CÓD.0013,,7897175440013,5206.32.00,COLEIRA GATO ESTAMPADA LUXO COM PINGENTE MIX,,,,CARTELA C/10,127gm,R$ 19.13,R$ 59.90,R$ 40.33,R$ 21.20,R$ 3.59,111%,R$ 65.89
CARTELA COM 10 PÇS DE COLEIRAS ELÁSTICA I LOVE CAT PARA GATO,,,,,,,,,,,,,,,,
CÓD.0266,,7897175440266,5206.32.00,COLEIRA GATO LOVE CAT COM GUIZO,,,,CARTELA C/10,65gm,R$ 6.26,R$ 22.90,R$ 12.95,R$ 6.69,R$ 1.37,107%,R$ 25.19
CÓD.0267,,7897175430267,5206.32.00,COLEIRA GATO LOVE CAT COM PINGENTE GATA,,,,CARTELA C/10,75gm,R$ 10.10,R$ 29.90,R$ 18.13,R$ 8.03,R$ 1.79,79%,R$ 32.89
CÓD.0268,,7897175420268,5206.32.00,COLEIRA GATO LOVE CAT COM PINGENTE PATA,,,,CARTELA C/10,75gm,R$ 10.10,R$ 29.90,R$ 18.13,R$ 8.03,R$ 1.79,79%,R$ 32.89
CÓD.0269,,7897175410269,5206.32.00,COLEIRA GATO LOVE CAT COM PINGENTE BORBOLETA,,,,CARTELA C/10,75gm,R$ 10.10,R$ 29.90,R$ 18.13,R$ 8.03,R$ 1.79,79%,R$ 32.89
CÓD.0270,,7897175470270,5206.32.00,COLEIRA GATO LOVE CAT COM PINGENTE COROINHA,,,,CARTELA C/10,75gm,R$ 10.10,R$ 29.90,R$ 18.13,R$ 8.03,R$ 1.79,79%,R$ 32.89
CÓD.0271,,7897175460271,5206.32.00,COLEIRA GATO LOVE CAT COM PINGENTE CORAÇÃO,,,,CARTELA C/10,75gm,R$ 10.10,R$ 29.90,R$ 18.13,R$ 8.03,R$ 1.79,79%,R$ 32.89
CÓD.0272,,7897175450272,5206.32.00,COLEIRA GATO LOVE CAT COM PINGENTE CARA DE GATA ,,,,CARTELA C/10,75gm,R$ 10.10,R$ 29.90,R$ 18.13,R$ 8.03,R$ 1.79,79%,R$ 32.89
CÓD.0011,,7897175460011,5206.32.00,COLEIRA GATO LOVE CAT COM PINGENTE MIX,,,,CARTELA C/10,75gm,R$ 10.10,R$ 29.90,R$ 18.13,R$ 8.03,R$ 1.79,79%,R$ 32.89
CÓD.0274,,7897175430274,5206.32.00,COLEIRA GATO LOVE CAT COM PINGENTE MIX +PLACA,,,,CARTELA C/10,115gm,R$ 14.50,R$ 39.90,R$ 25.53,R$ 11.03,R$ 2.39,76%,
CARTELA COM 10 PÇS DE COLEIRAS ELÁSTICA NEON PARA GATO,,,,,,,,,,,,,,,,
CÓD.0243,,7897175670243,5206.32.00,COLEIRA GATO NEON COM GUIZO,,,,CARTELA C/10,57gm,R$ 6.25,R$ 21.76,R$ 12.10,R$ 5.85,R$ 1.31,94%,R$ 23.94
CÓD.0244,,7897175660244,5206.32.00,COLEIRA GATO NEON COM PINGENTE GATA,,,,CARTELA C/10,67gm,R$ 9.85,R$ 28.41,R$ 17.02,R$ 7.17,R$ 1.70,73%,R$ 31.25
CÓD.0245,,7897175650245,5206.32.00,COLEIRA GATO NEON COM PINGENTE PATA,,,,CARTELA C/10,67gm,R$ 9.85,R$ 29.90,R$ 18.13,R$ 8.28,R$ 1.79,84%,R$ 32.89
CÓD.0261,,7897175630261,5206.32.00,COLEIRA GATO NEON COM PINGENTE BORBOLETA,,,,CARTELA C/10,67gm,R$ 9.85,R$ 29.90,R$ 18.13,R$ 8.28,R$ 1.79,84%,R$ 32.89
